265	532
386	450
440	295
101	753
147	654
109	644
102	633
360	653
38	631
85	606
143	491
141	654
113	630
122	616
154	587
146	526
436	567
315	575
194	529
257	490
175	497
181	504
209	506
272	507
250	500
246	508
353	490
281	499
263	495
295	499
222	502
242	478
267	473
113	442
308	490
323	485
320	471
434	470
344	472
311	460
284	456
309	411
396	460
108	426
396	424
428	377
285	373
269	340
311	382
303	363
305	348
106	352
132	355
176	339
135	336
141	337
470	381
403	369
330	337
510	366
519	373
369	282
231	320
266	330
479	343
458	346
473	322
505	341
297	301
307	319
216	303
515	311
508	319
492	316
486	242
495	297
487	269
438	287
310	216
516	224
309	212
503	211
101	669
119	677
266	516
384	459
408	389
98	359
419	354
513	352
393	276
