236	390
320	487
465	518
28	263
123	305
119	274
126	267
137	478
129	210
154	245
257	281
122	293
130	278
153	278
177	302
223	292
209	548
204	439
229	331
273	385
256	316
253	310
255	336
259	383
255	368
253	376
288	465
268	404
274	393
277	405
260	350
283	364
288	386
295	252
282	421
286	442
295	431
306	530
301	453
302	427
307	398
346	414
321	500
316	239
348	492
387	519
382	387
403	374
377	414
386	400
404	404
374	228
378	252
396	289
394	252
394	260
395	553
398	490
418	429
412	585
409	594
470	454
422	337
419	364
428	557
423	523
446	548
434	580
447	391
433	404
437	321
463	588
455	582
461	565
516	555
474	566
498	559
475	515
524	394
542	578
529	387
555	568
106	267
95	284
252	386
319	481
372	492
377	219
401	501
423	583
488	477
